City,High,Low,Medium,UQ,LQ,Count,Mean,Std
City,High,Low,Medium,UQ,LQ,Count,Mean,Std
,20000,20000,20000.0,20000.0,20000.0,1,20000.0,0.0
嘉義,35000,21000,30000.0,34000.0,24000.0,5,28800.0,5491.812087098392
日本,600000,63000,110000.0,320000.0,66000.0,5,231800.0,206963.18513204227
國教署,33000,33000,33000.0,33000.0,33000.0,1,33000.0,0.0
美國,2000,2000,2000.0,2000.0,2000.0,1,2000.0,0.0
倫敦,58000,58000,58000.0,58000.0,58000.0,1,58000.0,0.0
醫療相,200000,200000,200000.0,200000.0,200000.0,1,200000.0,0.0
全台都,42000,42000,42000.0,42000.0,42000.0,1,42000.0,0.0
東京,88000,88000,88000.0,88000.0,88000.0,1,88000.0,0.0
美術設,37000,37000,37000.0,37000.0,37000.0,1,37000.0,0.0
花蓮,27000,27000,27000.0,27000.0,27000.0,1,27000.0,0.0
1.台,35000,35000,35000.0,35000.0,35000.0,1,35000.0,0.0
上海,29000,29000,29000.0,29000.0,29000.0,1,29000.0,0.0
桃園 ,27000,27000,27000.0,27000.0,27000.0,1,27000.0,0.0
台中,90000,5000,30000.0,35750.0,26000.0,74,32378.37837837838,10776.228471642851
苗栗,42000,24000,33000.0,37500.0,28500.0,2,33000.0,9000.0
宜蘭,37000,22000,31000.0,34750.0,26500.0,4,30250.0,5760.859310901456
臺北,35000,26000,30000.0,31500.0,28500.0,6,30166.666666666668,2852.873794770615
澎湖,35000,35000,35000.0,35000.0,35000.0,1,35000.0,0.0
年資2,28000,28000,28000.0,28000.0,28000.0,1,28000.0,0.0
馬祖,50000,50000,50000.0,50000.0,50000.0,1,50000.0,0.0
City,High,Low,Medium,UQ,LQ,Count,Mean,Std
,20000,20000,20000.0,20000.0,20000.0,1,20000.0,0.0
澎湖,35000,35000,35000.0,35000.0,35000.0,1,35000.0,0.0
苗栗,42000,24000,33000.0,37500.0,28500.0,2,33000.0,9000.0
宜蘭,37000,22000,31000.0,34750.0,26500.0,4,30250.0,5760.859310901456
饅頭,28000,28000,28000.0,28000.0,28000.0,1,28000.0,0.0
銀行,45000,45000,45000.0,45000.0,45000.0,1,45000.0,0.0
City,High,Low,Medium,UQ,LQ,Count,Mean,Std
新竹,99000,5000,35000.0,48750.0,29250.0,38,41736.84210526316,19569.961152270716
